video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=fV8YKDiAkJk&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@CNN,CNN,Man charged in Flint water crisis speaks out,4.1K,7 years,"CNN's Sara Ganim speaks with Mike Glasgow, one of the men charged in the Flint water crisis.",2024-01-27 23:26:56.300125
/watch?v=BHL8hBvMS6Y&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ChrisHarden,Chris Harden,Flint's Water Crisis Was A Horrible Tragedy… And It Was EASILY Avoidable.,7.5K,1 year,"The Flint Water Crisis will go down as one of the largest examples of government corruption in U.S. History. In this video, I explain ...",2024-01-27 23:26:56.303021
/watch?v=-Vl_B-U2ubo&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ABCNews,ABC News,"Mistrial in Flint, Michigan, water trial after hung jury",4.9K,1 year,Law and Crime Network host and legal analyst Terri Austin discusses the latest on the Flint water case as jurors couldn't reach a ...,2024-01-27 23:27:06.109136
/watch?v=la6nWcFij7M&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@UAPipeTrades,United Association,UA Local 370 tackles Flint Michigan Water Crisis,2.7K,5 years,"UA Local 370 not only works in the community, but they also live there. The Water Crisis was a project that needed to receive ...",2024-01-27 23:27:06.113626
/watch?v=4PxAjj5vEEU&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ABC7Chicago,ABC 7 Chicago,Flint under citywide boil water advisory after water main break,1K,11 months,A Flint boil water advisory is in place after a water main break in the Michigan city.,2024-01-27 23:27:06.117007
/watch?v=I-KaqTyuVJY&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@PenguinRandomHouse,Penguin Random House,Uncovering the Flint Water Crisis: Dr. Mona Hanna-Attisha,11K,3 years,"In late August 2015, Dr. Mona Hanna-Attisha started investigating claims of toxic lead levels in the water of Flint, MI. In her book ...",2024-01-27 23:27:06.121344
/watch?v=TBs60bsQDDo&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@Reuters,Reuters,Michigan's former governor charged in Flint water crisis,1.2K,3 years,Michigan Solicitor General Fadwa Hammoud announced indictments Thursday in the investigation into the crisis surrounding lead ...,2024-01-27 23:27:06.124497
/watch?v=4-QkO04cpYU&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@msnbc,MSNBC,Michigan's Water Crisis Isn't Over | MSNBC,5.6K,2 years,"Residents in Benton Harbor, Michigan have been advised not to use tap water for cooking, drinking and brushing teeth due to ...",2024-01-27 23:27:06.127917
/watch?v=1hSLL_lRNE8&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@msnbc,MSNBC,Michael Moore On The Flint Water Crisis | All In | MSNBC,205K,8 years,"About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed ...",2024-01-27 23:27:06.130876
/watch?v=trj6CyJiEO4&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@rolandsmartin,Roland S. Martin,"What is the scandal behind the Flint, MI. water crisis?",2.1K,3 years,"Six years after the city of Flint, Michigan, began using a toxic water source that sickened its residents, VICE uncovered a scandal ...",2024-01-27 23:27:06.134091
/watch?v=Vbt4M9Xd5o8&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@YahooFinance,Yahoo Finance,"Flint water crisis: Mayor discusses $600,000,000 settlement",694,3 years,flintwatercrisis #flintmichigan #flintsettlement Flint Michigan Mayor Sheldon Neeley joins Yahoo Finance to discuss the settlement ...,2024-01-27 23:27:06.138037
/watch?v=GT4zjX1PoOo&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@DemocracyNow,Democracy Now!,"""Thirsty for Democracy: The Poisoning of an American City"": Special Report on Flint’s Water Crisis",7.7K,7 years,"http://democracynow.org - Today, we go to Flint, Michigan, for a Democracy Now! special on the ongoing Flint water crisis. In 2014 ...",2024-01-27 23:27:06.142607
/watch?v=HxJQ__4gLQs&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@NEAABS,National Education Association,"Flint Educator, Mother Describe Water Crisis Effects on Children",774,7 years,A longtime Flint educator and young mother tell their stories in the midst of a crisis created by MI Gov. Rick Snyder and other ...,2024-01-27 23:27:06.145846
/watch?v=EY3P6A_p61g&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@FOX2Detroit,FOX 2 Detroit,"Ex-state officials get charges dropped in Flint water crisis, leaving residents fuming",1.3K,1 year,The water crisis began in 2014 when state-appointed emergency managers appointed by former Governor Rick Snyder took Flint ...,2024-01-27 23:27:06.148775
/watch?v=--pQfb2tgSw&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Protests in Flint over water crisis,164,5 years,Kim: THE WATER CRISIS IN FLINT CONTINUES MAKING HEADLINES NATIONALLY. Guy: PROTESTERS ARE ON THE MOVE ...,2024-01-27 23:27:06.151935
/watch?v=mi7CLy2_rSg&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@NBCNews,NBC News,Flint Water Crisis: Is It Legal? | Short Take | NBC News,2.6K,8 years,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",2024-01-27 23:27:06.154873
/watch?v=XJVUEBLMUmo&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@msnbc,MSNBC,Flint Water Crisis: A Timeline Of Events | MSNBC,1.9K,8 years,"About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed ...",2024-01-27 23:27:06.157802
/watch?v=k18vbGwPxz4&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ACSReactions,Reactions,Chemistry and the Flint Water Crisis - Speaking of Chemistry,51K,7 years,"Virginia Tech researchers helped prove that lead levels were dangerously high in Flint's tap water, even when government ...",2024-01-27 23:27:06.161639
/watch?v=8dBkEJcT7Qc&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Did race play a role in the Flint water crisis?,441,5 years,The Michigan Civil Rights Commission plans its first public hearing into whether Flint residents faced discrimination during the ...,2024-01-27 23:27:06.165005
/watch?v=8aVQW2pO_wM&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@msnbc,MSNBC,Rachel Maddow: Flint Water Crisis 'An American Disaster' | Andrea Mitchell | MSNBC,12K,8 years,"About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed ...",2024-01-27 23:27:06.167983
/watch?v=SfBD3Zkftbo&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Michigan announced $600 million settlement in Flint water crisis,1.2K,3 years,Michigan officials announced a $600 million settlement in the Flint water crisis. For more information: ...,2024-01-27 23:27:06.171197
/watch?v=QknLDULiHNQ&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@theGrioPolitics,theGrio Politics,Flint Water Crisis Reveals Issues of Environmental Racism,840,2 years,"A report by BNC correspondent Stephanie Bertini reveals many residents of Flint, Michigan, who were impacted by the water crisis ...",2024-01-27 23:27:06.174276
